system:index,cellCount,psim_id,scym9,state,year,yield_tha,yield_tha_noW,.geo
000000000000000032b6,74496,35837.0,1.0,IN,2011,6567,6554,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000032b7,74497,35838.0,1.0,IN,2011,7253,7247,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000032b8,74505,35841.0,1.0,IN,2011,3,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000032b9,74496,35842.0,1.0,IN,2011,838,813,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000032ba,74501,35843.0,1.0,IN,2011,57,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000032bb,74502,35844.0,1.0,IN,2011,0,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000336c,74605,36077.0,1.0,IN,2011,19765,17264,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000336d,74591,36078.0,1.0,IN,2011,24253,23328,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000336e,74583,36079.0,1.0,IN,2011,26611,25762,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000336f,74592,36080.0,1.0,IN,2011,28585,27706,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003370,74585,36081.0,1.0,IN,2011,25067,25178,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003371,74587,36082.0,1.0,IN,2011,14582,14581,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003372,74590,36083.0,1.0,IN,2011,23254,23217,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003373,74584,36084.0,1.0,IN,2011,20684,20817,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003374,74580,36085.0,1.0,IN,2011,28740,28841,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003375,74630,36087.0,1.0,IN,2011,3040,3051,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003376,74588,36088.0,1.0,IN,2011,1652,1637,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003377,74582,36089.0,1.0,IN,2011,3261,3255,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003378,74582,36090.0,1.0,IN,2011,4265,4196,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003379,74581,36091.0,1.0,IN,2011,15717,15493,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000337a,74590,36092.0,1.0,IN,2011,26599,26582,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000337b,74582,36093.0,1.0,IN,2011,23351,23364,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000337c,74584,36094.0,1.0,IN,2011,13002,13082,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000337d,74585,36095.0,1.0,IN,2011,6350,6418,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000337e,74577,36096.0,1.0,IN,2011,17814,17772,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000337f,74591,36097.0,1.0,IN,2011,6677,6677,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003380,74611,36098.0,1.0,IN,2011,4478,4532,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003381,74586,36099.0,1.0,IN,2011,7171,7207,"{""type"":""MultiPoint"",""coordinates"":[]}"
